NumberGeophones,50
ShotOffset,10
GeophoneSpacing,20
FirstGeophone,0
Time,1,20,420 
Time,2,60,417
Time,3,81.1,414 
Time,4,99.3,412 
Time,5,117,409 
Time,6,136,406 
Time,7,154,403 
Time,8,172,401 
Time,9,190,398 
Time,10,205,395 
Time,11,214,393 
Time,12,222,390
Time,13,231,387 
Time,14,240,385 
Time,15,249,382 
Time,16,258,379 
Time,17,267,376 
Time,18,273,374 
Time,19,277,371 
Time,20,282,368 
Time,21,286,366 
Time,22,291,363 
Time,23,296,360 
Time,24,300,358 
Time,25,305,355 
Time,26,309,352 
Time,27,314,349 
Time,28,318,347 
Time,29,323,344 
Time,30,327,341 
Time,31,332,339
Time,32,337,336 
Time,33,341,331 
Time,34,346,324 
Time,35,350,317 
Time,36,355,299
Time,37,359,281
Time,38,364,263
Time,39,369,245
Time,40,373,227
Time,41,378,208
Time,42,382,190
Time,43,387,172
Time,44,391,154
Time,45,396,136
Time,46,400,117
Time,47,405,99.3
Time,48,410,81.1
Time,49,414,60
Time,50,419,20
