NumberGeophones,50
ShotOffset,10
GeophoneSpacing,1000
Time,1,10,13.3,15.8,19.2
Time,2,1010,13.3,15.8,19.2
Time,3,2010,13.3,15.8,19.2
Time,4,3010,13.4,15.8,19.2
Time,5,4010,13.4,15.9,19.2
Time,6,5010,13.4,15.9,19.2
Time,7,6010,13.4,15.9,19.2
Time,8,7010,13.4,15.9,19.2
Time,9,8010,13.5,15.9,19.2
Time,10,9010,13.5,15.9,19.2
Time,11,10000,13.5,15.9,19.3
Time,12,11000,13.6,16,19.3
Time,13,12000,13.6,16,19.3
Time,14,13000,13.6,16,19.3
Time,15,14000,13.7,16.1,19.3
Time,16,15000,13.7,16.1,19.4
Time,17,16000,13.8,16.1,19.4
Time,18,17000,13.9,16.2,19.4
Time,19,18000,13.9,16.2,19.5
Time,20,19000,14,16.2,19.5
Time,21,20000,14.1,16.3,19.5
Time,22,21000,14.1,16.3,19.6
Time,23,22000,14.2,16.4,19.6
Time,24,23000,14.3,16.4,19.6
Time,25,24000,14.4,16.5,19.7
Time,26,25000,14.4,16.5,19.7
Time,27,26000,14.5,16.6,19.8
Time,28,27000,14.6,16.7,19.8
Time,29,28000,14.7,16.7,19.9
Time,30,29000,14.8,16.8,19.9
Time,31,30000,14.9,16.8,20
Time,32,31000,15,16.9,20
Time,33,32000,15.1,17,20.1
Time,34,33000,15.2,17,20.1
Time,35,34000,15.3,17.1,20.2
Time,36,35000,15.4,17.2,20.2
Time,37,36000,15.6,17.3,20.3
Time,38,37000,15.7,17.3,20.4
Time,39,38000,15.8,17.4,20.4
Time,40,39000,15.9,17.5,20.5
Time,41,40000,16,17.6,20.6
Time,42,41000,16.2,17.6,20.6
Time,43,42000,16.3,17.7,20.7
Time,44,43000,16.4,17.8,20.8
Time,45,44000,16.5,17.9,20.8
Time,46,45000,16.7,18,20.9
Time,47,46000,16.8,18.1,21
Time,48,47000,16.9,18.2,21.1
Time,49,48000,17.1,18.2,21.1
Time,50,49000,17.2,18.3,21.2
